,ParticipantID,Date,OD260/280,OD260/230,Concentration
1,K039317K,2022-04-19,1.57,0.94,155.89
2,K036350K,2022-04-06,2.05,2.46,84.4
6,K037463V,2022-04-05,2.06,2.49,86.61
18,K041385H,2022-04-29,2.05,2.81,78.61
30,K039332B,2022-04-06,1.68,1.58,80.94
38,K035312G,2022-04-29,2.09,2.77,85.14
