Participant ID,Output Position,Output Tube ID,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
210012473,A01,4015678209,47.59,2.12,1.03,0.02,1.16,1.19,0.56
210011740,B01,4015673602,7.71,1.73,0.58,0.01,0.33,0.19,0.11
122002929,C01,4015673603,95.4,2.09,1.77,0.01,1.35,2.38,1.14
120000022,D01,4015673604,61.89,1.97,0.88,0.04,1.76,1.55,0.78
116000910,E01,4015673605,6.61,3.01,0.03,-0.01,5.81,0.17,0.05
116000834,F01,4015673606,10.19,2.47,0.94,-0.01,0.27,0.25,0.1
116000831,G01,4015673607,0.7,1.49,0.01,-0.02,1.8,0.02,0.01
115003907,H01,4015673608,44.29,1.98,1.2,0.02,0.92,1.11,0.56
114000932,A02,4015673609,11.73,2.11,0.89,0.02,0.33,0.29,0.14
114000717,B02,4015673610,38.48,2.05,1.2,0.06,0.8,0.96,0.47
113000952,C02,4015673611,82.11,2.11,1.21,0.04,1.7,2.05,0.97
QCNC153,D02,4015673612,0.76,-1.3,0,-0.01,4,0.02,-0.01
