Participant ID,Output Position,Output Tube ID,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
117000506,A01,1049537887,16.61,1.83,0.23,0.02,1.43,0.33,0.18
117000463,B01,1049537886,85.6,2.03,1.9,0.06,0.9,1.71,0.84
117000457,C01,1049537885,44.51,2.01,1.77,0.04,0.5,0.89,0.44
111000210,D01,1049537884,58.43,2.01,1.64,0.04,0.71,1.17,0.58
115002866,E01,1049537883,33.45,2.03,1.23,0.09,0.54,0.67,0.33
115001819,F01,1049537882,44.34,2.06,0.45,0.05,1.97,0.89,0.43
114000620,G01,1049537881,51.35,1.95,1.71,0.08,0.6,1.03,0.53
113001833,H01,1049537880,60.82,2.03,1.67,0.05,0.73,1.22,0.6
113001812,A02,1049537879,39.83,1.95,0.85,0.01,0.94,0.8,0.41
113001810,B02,1049537878,62.7,2.04,1.38,0.04,0.91,1.25,0.61
111000572,C02,1049537877,160.98,1.98,1.77,0.05,1.81,3.22,1.63
QCNC195,D02,1049537876,1.78,0.78,0.08,0.02,0.43,0.04,0.05
