Participant ID,Output Position,Output Tube ID,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
210011829,A01,4032760071,80.61,2.09,2.11,0.03,0.77,1.61,0.77
115000384,B01,4032760063,304.11,1.97,2.19,0.05,2.78,6.08,3.09
112004239,C01,4032760079,58.15,2.08,1.98,0.04,0.59,1.16,0.56
112004255,D01,4032760101,45.36,2.08,0.95,0.05,0.95,0.91,0.44
112004266,E01,4032760077,71.09,2.04,1.75,0.07,0.81,1.42,0.7
112004287,F01,4032760093,82.83,2.04,1.74,0.06,0.95,1.66,0.81
116000192,G01,4032760086,53.41,2.11,0.37,0.02,2.87,1.07,0.51
116000236,H01,4032760068,57.42,2.12,1.47,0.06,0.78,1.15,0.54
115001124,A02,4032760064,60.97,2.07,1.72,0.04,0.71,1.22,0.59
116000187,B02,4032760059,43.23,2.09,0.25,0.03,3.4,0.86,0.41
117002545,C02,4032760069,43.04,2.05,1.9,0.03,0.45,0.86,0.42
QCNC163,D02,4032760060,1.28,0.95,0.13,0.03,0.19,0.03,0.03
