Participant ID,Output Position,Output Tube ID,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
122000148,A01,1049312076,18.27,1.75,1.31,0.07,0.35,0.46,0.26
120000492,B01,1049312077,46.02,1.94,1.21,0.06,0.95,1.15,0.59
120000394,C01,1049312078,79.19,2.02,1.47,0.05,1.34,1.98,0.98
115016575,D01,1049312079,32.69,1.88,1.42,0.07,0.58,0.82,0.44
115014007,E01,1049312080,59.88,1.99,1.37,0.07,1.09,1.5,0.75
114001286,F01,1049312081,59.21,1.96,1.52,0.08,0.97,1.48,0.75
114001283,G01,1049312082,33.56,1.94,1.21,0.07,0.7,0.84,0.43
114001267,H01,1049312083,71.63,1.94,1.38,0.06,1.3,1.79,0.92
111003246,A02,1049312084,55.29,2.03,1.55,0.03,0.89,1.38,0.68
111003048,B02,1049312085,102.63,1.98,1.64,0.05,1.57,2.57,1.3
111003025,C02,1049312086,38.37,1.93,1.39,0.05,0.69,0.96,0.5
QCNC203,D02,1049312087,2.89,1.2,0.11,0.06,0.63,0.07,0.06
