Participant ID,Output Position,Output Tube ID,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
210011314,A01,1049537864,90.78,1.97,1.47,0.09,1.54,2.27,1.15
210010633,B01,1049537865,87.94,2.05,1.71,0.06,1.29,2.2,1.07
210010324,C01,1049537866,36.49,2.06,0.96,0.07,0.95,0.91,0.44
122000935,D01,1049537867,101.31,1.97,1.61,0.07,1.57,2.53,1.28
122000669,E01,1049537868,62.16,2.11,1.15,0.06,1.35,1.55,0.74
122000193,F01,1049537869,53.77,2.09,1.46,0.07,0.92,1.34,0.64
120000709,G01,1049537870,51.33,2,1.56,0.09,0.82,1.28,0.64
120000719,H01,1049537871,57.07,2.06,0.96,0.08,1.49,1.43,0.69
118000031,A02,1049537872,46.2,2.05,0.74,0.08,1.56,1.15,0.56
115017343,B02,1049537873,80.12,2,1.71,0.09,1.17,2,1
112000212,C02,1049537874,16.4,1.97,0.17,0.05,2.41,0.41,0.21
QCNC183,D02,1049537875,2.91,1.47,0.11,0.07,0.65,0.07,0.05
