Participant ID,Output Position,Output Tube ID,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
119000743,A1,1049312064,133.3,1.97,1.59,0.05,2.1,3.33,1.69
119000652,B1,1049312065,95.93,1.97,1.99,0.07,1.21,2.4,1.22
119000564,C1,1049312066,34.52,1.94,1.85,0.05,0.47,0.86,0.44
117002973,D1,1049312067,46.41,1.98,2.05,0.01,0.57,1.16,0.59
117002944,E1,1049312068,54.95,2,0.65,0.04,2.12,1.37,0.69
117002925,F1,1049312069,124.79,2.03,1.95,0.07,1.6,3.12,1.54
114001088,G1,1049312070,96.53,1.99,1.19,0.05,2.04,2.41,1.21
111002896,H1,1049312071,49.24,2.01,1.15,0.05,1.07,1.23,0.61
111002886,A2,1049312072,42.83,1.98,1.34,0.01,0.8,1.07,0.54
111000501,B2,1049312073,24.45,2.02,0.34,-0.03,1.77,0.61,0.3
111000500,C2,1049312074,25.68,1.99,0.83,0.04,0.77,0.64,0.32
QCNC237,D2,1049312075,1.43,0.83,0.04,0.04,0.99,0.04,0.04
